"id","from_state","from_label","trigger","guard","action","to_state","to_label"
"T019H1B","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Unsupported old DB issue","Return to old-version issue choices","DB_ISSUE_TOO_OLD_ACTION","User choice after unsupported old DB version"
"T019H1C","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Newer-than-supported DB issue","Return to newer-version issue choices","DB_ISSUE_TOO_NEW_ACTION","User choice after newer-than-supported DB"
"T019H1D","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Sidecar metadata issue","Return to sidecar-issue choices","DB_ISSUE_SIDECAR_MISSING_ACTION","User choice after sidecar metadata issue"
"T019H2","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Repair failed flow","Return to repair-failure recovery choices","DB_REPAIR_FAILED_ACTION","User choice after repair failure"
"T019H3","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Plaintext local DB flow","Return to plaintext DB choices","PLAINTEXT_DB_ACTION","User choice for plaintext local DB"
"T019H4","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Plaintext encryption failure","Return to plaintext encryption failure choices","PLAINTEXT_ENCRYPT_FAILED_ACTION","User choice after plaintext DB encryption failure"
"T019H5","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Unfinalized DB flow","Return to unfinalized DB choices","DB_FOUND_UNFINALIZED_ACTION","User choice for unfinalized existing DB"
"T019H7","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Migration deferred","Return to migration deferred choices","MIGRATION_DEFERRED_ACTION","User choice after migration deferred"
"T019H8","DELETE_CONFIRM_CANCEL_ROUTE","Return by delete-confirm source","resolved","Migration failed","Return to migration failure choices","MIGRATION_FAILED_ACTION","User choice after migration failure"
"T019I","DELETE_EXISTING_DB_DECISION","Delete current DB artifacts?","user","Yes","Delete current DB artifacts and metadata","DELETE_EXISTING_DB_RUN","Delete DB + WAL + SHM + metadata"
"T019J","DELETE_EXISTING_DB_RUN","Delete DB + WAL + SHM + metadata","complete","","Proceed to fresh create-new flow","CREATE_NEW_FLOW","Enter Create New DB flow"
"T020","MIGRATION_SUCCESS","Migration completed successfully","continue","","Persist updated metadata and health","UPDATE_METADATA","Update metadata (schema version + health)"
"T021","UPDATE_METADATA","Update metadata (schema version + health)","complete","","Room already open via DBSM; finalize app readiness post-migration","INIT_ROOM","DB session confirmed ready (Room opened by DatabaseSessionManager after auth; this step finalizes app readiness)"
"T022","INIT_ROOM","DB session confirmed ready (Room opened by DatabaseSessionManager after auth; this step finalizes app readiness)","complete","","Load app runtime using selected/available DB","APP_RUNTIME_READY","App runtime ready (user starts using app)"
"TRT001","APP_RUNTIME_READY","App runtime ready (user starts using app)","session tracking starts","","Begin inactivity timer; reset on every user-initiated DB write or screen interaction; background service writes do not reset timer","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)"
"TRT002","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)","user interaction or DB write","Session active","Reset inactivity timer","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)"
"TRT002B","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)","inactivity timer fires","No user interaction since last check","Evaluate inactivity threshold","RUNTIME_INACTIVITY_CHECK","Inactivity threshold reached?"
"TRT003","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)","app backgrounded or screen locked","","Continue inactivity timer in background","RUNTIME_BACKGROUND_WAIT","App backgrounded or screen locked (inactivity timer continues)"
"TRT004","RUNTIME_BACKGROUND_WAIT","App backgrounded or screen locked (inactivity timer continues)","app resumed to foreground","","Check inactivity threshold","RUNTIME_RESUME_CHECK","Inactivity status on resume"
"TRT005","RUNTIME_RESUME_CHECK","Inactivity status on resume","resolved","Inactivity threshold not reached","Resume inactivity timer","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)"
"TRT006","RUNTIME_RESUME_CHECK","Inactivity status on resume","resolved","Inactivity threshold reached","Trigger process restart for security lock","RUNTIME_TRIGGER_LOCK","Call restartProcess() - kills process, wipes SQLCipher key from RAM, DB file remains encrypted on disk"
"TRT007","RUNTIME_INACTIVITY_CHECK","Inactivity threshold reached?","resolved","Yes / threshold reached","Trigger process restart for security lock","RUNTIME_TRIGGER_LOCK","Call restartProcess() - kills process, wipes SQLCipher key from RAM, DB file remains encrypted on disk"
"TRT007A","RUNTIME_INACTIVITY_CHECK","Inactivity threshold reached?","resolved","No / threshold not reached","Continue inactivity timer","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)"
"TRT008","RUNTIME_TRIGGER_LOCK","Call restartProcess() - kills process, wipes SQLCipher key from RAM, DB file remains encrypted on disk","execute","","Call restartProcess() - kills process, Room singleton destroyed, SQLCipher key wiped from RAM; DB file remains encrypted on disk; on relaunch normal cold boot runs","RUNTIME_APP_RESTART","Restart app process after runtime lock or destructive reset"
"TRT009","RUNTIME_APP_RESTART","Restart app process after runtime lock or destructive reset","complete","","Re-enter boot flow","APP_LAUNCH","App launch (pre-Room)"
"TRT010","RESET_POST_DELETE_ROUTE","Route after reset delete by source","resolved","Boot reset (metadata repair or unlock lockout)","Continue into create-new flow","RESET_TO_CREATE_NEW","Handoff to fresh Create New DB flow"
"TRT011","RESET_POST_DELETE_ROUTE","Route after reset delete by source","resolved","Runtime forgot-passphrase","Restart app after destructive runtime reset","RUNTIME_APP_RESTART","Restart app process after runtime lock or destructive reset"
"TRT012","RESET_CANCEL_ROUTE","Return by reset source","resolved","Runtime forgot-passphrase","Return to unlock screen","AUTH_UNLOCK_SCREEN","Passphrase unlock screen - shows payanam.db last-modified and file size from filesystem (no decryption needed)"
"TAUTH002","AUTH_UNLOCK_SCREEN","Passphrase unlock screen - shows payanam.db last-modified and file size from filesystem (no decryption needed)","show","","Determine available auth method","AUTH_UNLOCK_METHOD","Auth method available"
"TAUTH003","AUTH_UNLOCK_METHOD","Auth method available","resolved","Biometric enabled and device biometric available","Show system biometric prompt first; manual passphrase always available as fallback below prompt","AUTH_BIOMETRIC_PROMPT","System biometric prompt (fingerprint or face)"
"TAUTH004","AUTH_UNLOCK_METHOD","Auth method available","resolved","Biometric not enabled or not available","Show manual passphrase entry only","AUTH_MANUAL_ENTRY","User types passphrase manually"
"TAUTH005","AUTH_BIOMETRIC_PROMPT","System biometric prompt (fingerprint or face)","complete","","Check biometric result","AUTH_BIOMETRIC_RESULT","Biometric verification result"
"TAUTH006","AUTH_BIOMETRIC_RESULT","Biometric verification result","resolved","Success","Unwrap passphrase from biometric-required Keystore key","AUTH_BIOMETRIC_KEYSTORE_UNWRAP","Keystore releases wrapped passphrase (key has setUserAuthenticationRequired=true, auth window satisfied)"
"TAUTH007","AUTH_BIOMETRIC_RESULT","Biometric verification result","resolved","Failed or skipped","Fall back to manual passphrase entry","AUTH_MANUAL_ENTRY","User types passphrase manually"
"TAUTH008","AUTH_BIOMETRIC_KEYSTORE_UNWRAP","Keystore releases wrapped passphrase (key has setUserAuthenticationRequired=true, auth window satisfied)","complete","","Passphrase in memory; proceed to DB open","AUTH_PASSPHRASE_READY","Passphrase available in memory for DB open (from biometric unwrap or manual entry)"
"TAUTH009","AUTH_MANUAL_ENTRY","User types passphrase manually","submit","","Verify typed passphrase against PBKDF2 verifier stored in SharedPreferences","AUTH_MANUAL_VERIFY","Verify typed passphrase against stored PBKDF2 verifier"
"TAUTH010","AUTH_MANUAL_VERIFY","Verify typed passphrase against stored PBKDF2 verifier","resolved","Valid","Passphrase verified; derive SQLCipher key in memory","AUTH_PASSPHRASE_READY","Passphrase available in memory for DB open (from biometric unwrap or manual entry)"
"TAUTH011","AUTH_MANUAL_VERIFY","Verify typed passphrase against stored PBKDF2 verifier","resolved","Invalid and retries remaining","Show wrong passphrase error","AUTH_MANUAL_FAILED","Wrong passphrase entered"
"TAUTH012","AUTH_MANUAL_VERIFY","Verify typed passphrase against stored PBKDF2 verifier","resolved","Invalid and max attempts reached","Activate lockout timer","AUTH_LOCKOUT","Too many failed attempts - lockout active"
"TAUTH013","AUTH_MANUAL_FAILED","Wrong passphrase entered","show","","Await user retry or forgot-passphrase","AUTH_MANUAL_FAILED_ACTION","User choice after wrong passphrase"
"TAUTH014","AUTH_MANUAL_FAILED_ACTION","User choice after wrong passphrase","user","Retry","","AUTH_MANUAL_ENTRY","User types passphrase manually"
"TAUTH015","AUTH_MANUAL_FAILED_ACTION","User choice after wrong passphrase","user","Forgot passphrase","Enter reset confirmation flow","RESET_SRC_RUNTIME_FORGOT","Set reset source = runtime forgot-passphrase"
"TAUTH016","AUTH_LOCKOUT","Too many failed attempts - lockout active","show","","Await lockout expiry or forgot-passphrase","AUTH_LOCKOUT_ACTION","User choice after lockout"
"TAUTH017","AUTH_LOCKOUT_ACTION","User choice after lockout","resolved","Lockout expired","Return to manual entry","AUTH_MANUAL_ENTRY","User types passphrase manually"
"TAUTH018","AUTH_LOCKOUT_ACTION","User choice after lockout","user","Forgot passphrase","Enter reset confirmation flow","RESET_SRC_UNLOCK_LOCKOUT","Set reset source = unlock lockout"
"TAUTH019","AUTH_PASSPHRASE_READY","Passphrase available in memory for DB open (from biometric unwrap or manual entry)","continue","","Open DB via DatabaseSessionManager.openDatabase(passphrase)","DBSM_OPEN_DB","DatabaseSessionManager.openDatabase(passphrase) - build Room instance with SQLCipher SupportFactory, store in session holder"
"TAUTH020","DBSM_OPEN_DB","DatabaseSessionManager.openDatabase(passphrase) - build Room instance with SQLCipher SupportFactory, store in session holder","complete","","Check if Room opened successfully","DBSM_OPEN_RESULT","Room open succeeded?"
"TAUTH021","DBSM_OPEN_RESULT","Room open succeeded?","resolved","Success","DB session open; continue boot flow","MIGRATION_CHECK","Check migration needed"
"TAUTH022","DBSM_OPEN_RESULT","Room open succeeded?","resolved","Failed - wrong passphrase","Show DB open failure; passphrase was wrong for this encrypted file","DBSM_OPEN_FAILED","DB open failed (wrong passphrase or corrupted file)"
"TAUTH023","DBSM_OPEN_RESULT","Room open succeeded?","resolved","Failed - file corrupt","Show DB open failure; file is unreadable","DBSM_OPEN_FAILED","DB open failed (wrong passphrase or corrupted file)"
"TAUTH024","DBSM_OPEN_FAILED","DB open failed (wrong passphrase or corrupted file)","show","","Await user choice: retry passphrase or reset","DBSM_OPEN_FAILED_ACTION","User choice after DB open failure"
"TAUTH025","DBSM_OPEN_FAILED_ACTION","User choice after DB open failure","user","Retry passphrase","","AUTH_MANUAL_ENTRY","User types passphrase manually"
"TAUTH026","DBSM_OPEN_FAILED_ACTION","User choice after DB open failure","user","Reset and start fresh","","RESET_SRC_RUNTIME_FORGOT","Set reset source = runtime forgot-passphrase"
"TAUTH027","APP_RUNTIME_READY","App runtime ready (user starts using app)","post-unlock biometric offer eligible","Biometric not yet enabled and device supports biometric and user just completed manual passphrase unlock","Show one-time non-intrusive biometric offer","AUTH_POST_UNLOCK_BIOMETRIC_OFFER","Post-unlock offer: Enable biometric unlock? (shown only if biometric not yet enabled and device supports it)"
"TAUTH028","AUTH_POST_UNLOCK_BIOMETRIC_OFFER","Post-unlock offer: Enable biometric unlock? (shown only if biometric not yet enabled and device supports it)","show","","Await user decision","AUTH_POST_UNLOCK_BIOMETRIC_DECISION","User choice on biometric offer"
"TAUTH029","AUTH_POST_UNLOCK_BIOMETRIC_DECISION","User choice on biometric offer","user","Enable biometric","","BIOSEC_ENABLE_FLOW","Biometric enable flow (from post-unlock offer or Settings)"
"TAUTH030","AUTH_POST_UNLOCK_BIOMETRIC_DECISION","User choice on biometric offer","user","Skip or dismiss","Return to runtime; do not show offer again this session","RUNTIME_INACTIVITY_TRACKER","Track inactivity timer (reset on each user-initiated DB write or screen interaction)"
"TAUTH031","RESET_SRC_RUNTIME_FORGOT","Set reset source = runtime forgot-passphrase","continue","","","RESET_CONFIRM_SCREEN","Forgot passphrase reset confirmation (deletes all local DB data)"
"TBIOSEC001","BIOSEC_ENABLE_FLOW","Biometric enable flow (from post-unlock offer or Settings)","start","","Check device biometric enrollment","BIOSEC_DEVICE_CHECK","Device has enrolled biometric?"
"TBIOSEC002","BIOSEC_DEVICE_CHECK","Device has enrolled biometric?","resolved","No biometric enrolled","Show guidance to enroll in device settings","BIOSEC_NO_BIOMETRIC","No biometric enrolled on device - show guidance"
"TBIOSEC003","BIOSEC_DEVICE_CHECK","Device has enrolled biometric?","resolved","Biometric enrolled","Confirm with system biometric prompt","BIOSEC_CONFIRM_PROMPT","System biometric prompt to confirm enrollment for app"
"TBIOSEC004","BIOSEC_CONFIRM_PROMPT","System biometric prompt to confirm enrollment for app","complete","","","BIOSEC_CONFIRM_RESULT","Biometric enrollment confirmation result"
"TBIOSEC005","BIOSEC_CONFIRM_RESULT","Biometric enrollment confirmation result","resolved","Success","Generate biometric-required Keystore key (setUserAuthenticationRequired=true) and wrap current passphrase under it","BIOSEC_STORE_WRAPPED_KEY","Wrap passphrase under biometric-required Keystore key (setUserAuthenticationRequired=true) and persist"
"TBIOSEC006","BIOSEC_CONFIRM_RESULT","Biometric enrollment confirmation result","resolved","Failed or cancelled","","BIOSEC_ENABLE_FAILED","Biometric enable failed"
"TBIOSEC007","BIOSEC_STORE_WRAPPED_KEY","Wrap passphrase under biometric-required Keystore key (setUserAuthenticationRequired=true) and persist","complete","","Mark biometric enabled in preferences","BIOSEC_ENABLE_DONE","Biometric unlock enabled"
"TBIOSEC008","BIOSEC_ENABLE_DONE","Biometric unlock enabled","dismiss","","Return to caller (post-unlock screen or Settings)","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle"
"TBIOSEC009","BIOSEC_NO_BIOMETRIC","No biometric enrolled on device - show guidance","dismiss","","Return to caller","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle"
"TBIOSEC010","BIOSEC_ENABLE_FAILED","Biometric enable failed","dismiss","","Return to caller","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle"
"TBIOSEC011","SETTINGS_BIOMETRIC_TOGGLE","User taps biometric unlock toggle","resolved","Enabling","","BIOSEC_ENABLE_FLOW","Biometric enable flow (from post-unlock offer or Settings)"
"TBIOSEC012","SETTINGS_BIOMETRIC_TOGGLE","User taps biometric unlock toggle","resolved","Disabling","","BIOSEC_DISABLE_FLOW","Biometric disable flow (from Settings while DB session already unlocked)"
"TBIOSEC013","BIOSEC_DISABLE_FLOW","Biometric disable flow (from Settings while DB session already unlocked)","start","","Delete biometric-required Keystore key entry","BIOSEC_DELETE_KEY","Delete biometric-required Keystore key entry"
"TBIOSEC017","BIOSEC_DELETE_KEY","Delete biometric-required Keystore key entry","complete","","Clear biometric-enabled flag in preferences","BIOSEC_DISABLE_DONE","Biometric unlock disabled"
"TBIOSEC018","BIOSEC_DISABLE_DONE","Biometric unlock disabled","dismiss","","Return to Settings Security screen","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle"
"TSEC001","APP_RUNTIME_READY","App runtime ready (user starts using app)","user opens security settings","","","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle"
"TSEC002","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle","user changes timeout","","Persist new inactivity timeout value; reset current inactivity timer","SETTINGS_TIMEOUT_CHANGE","User changes inactivity timeout value"
"TSEC003","SETTINGS_TIMEOUT_CHANGE","User changes inactivity timeout value","complete","","Return to security settings","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle"
"TSEC004","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle","user taps biometric toggle","","","SETTINGS_BIOMETRIC_TOGGLE","User taps biometric unlock toggle"
"TSEC005","SETTINGS_SECURITY_SCREEN","Settings > Security - shows: session inactivity timeout config + biometric unlock toggle","back","","Return to main settings","APP_RUNTIME_READY","App runtime ready (user starts using app)"
"TDBSM001","IMPORT_DB_HANDOFF","Close Room and enter maintenance replace flow","continue","","Close DatabaseSessionManager session before file replacement; backup existing DB","DBSM_CLOSE_DB","DatabaseSessionManager.closeDatabase() - null the Room instance, called before restartProcess() on import-replace only"
"TDBSM002","DBSM_CLOSE_DB","DatabaseSessionManager.closeDatabase() - null the Room instance, called before restartProcess() on import-replace only","complete","","Proceed with import replace flow","IMPORT_DB_EXECUTE","Execute full DB replace import (backup DB + encryption state, replace, configure encryption with import passphrase, validate)"
"TDM001","APP_RUNTIME_READY","App runtime ready (user starts using app)","user opens data management","","","DATA_MGMT_HOME","Settings > Data Management"
"TDM002","DATA_MGMT_HOME","Settings > Data Management","show","","Await export/import/switch/reset choice","DATA_MGMT_ACTION","User choice in Data Management"
"TDM003","DATA_MGMT_ACTION","User choice in Data Management","user","Export","","EXPORT_SCOPE","Choose export scope"
"TDM004","DATA_MGMT_ACTION","User choice in Data Management","user","Import","","IMPORT_TYPE","Choose import source type"
"TDM005","DATA_MGMT_ACTION","User choice in Data Management","user","Close","Return to app","APP_RUNTIME_READY","App runtime ready (user starts using app)"
"TDM006","DATA_MGMT_ACTION","User choice in Data Management","user","Switch DB","Start DB switch maintenance handoff","DATA_MGMT_SWITCH_DB_HANDOFF","Switch DB requested from settings"
"TDM007","DATA_MGMT_SWITCH_DB_HANDOFF","Switch DB requested from settings","continue","","Show destructive import confirmation warning","DATA_MGMT_IMPORT_DB_CONFIRM","Warn: importing different DB will permanently delete current DB and all data"
"TDM007A","DATA_MGMT_IMPORT_DB_CONFIRM","Warn: importing different DB will permanently delete current DB and all data","show","","Await import confirm or cancel","DATA_MGMT_IMPORT_DB_DECISION","User confirms import different DB from settings?"
"TDM007B","DATA_MGMT_IMPORT_DB_DECISION","User confirms import different DB from settings?","user","No","Return to Data Management","DATA_MGMT_HOME","Settings > Data Management"
"TDM007C","DATA_MGMT_IMPORT_DB_DECISION","User confirms import different DB from settings?","user","Yes","Close Room and enter sidecar-safe backup then import flow","IMPORT_WAL_CHECKPOINT","Checkpoint WAL into main DB file before backup"
"TDM008","DATA_MGMT_ACTION","User choice in Data Management","user","Reset DB","Show backup-before-delete prompt","DATA_MGMT_RESET_DB_EXPORT_PROMPT","Prompt: back up current DB before deleting? Yes runs manual backup, No proceeds"
"TDM008A","DATA_MGMT_RESET_DB_EXPORT_PROMPT","Prompt: back up current DB before deleting? Yes runs manual backup, No proceeds","show","","Await backup choice","DATA_MGMT_RESET_DB_EXPORT_DECISION","User choice on backup before delete"
"TDM008B","DATA_MGMT_RESET_DB_EXPORT_DECISION","User choice on backup before delete","user","Yes back up first","Run manual DB backup then show final delete confirmation","DATA_MGMT_RESET_DB_CONFIRM","Confirm reset database from settings (deletes local DB data with no recovery)"
"TDM008C","DATA_MGMT_RESET_DB_EXPORT_DECISION","User choice on backup before delete","user","No skip backup","Show final destructive delete confirmation","DATA_MGMT_RESET_DB_CONFIRM","Confirm reset database from settings (deletes local DB data with no recovery)"
"TDM009","DATA_MGMT_RESET_DB_CONFIRM","Confirm reset database from settings (deletes local DB data with no recovery)","show","","Await reset confirmation","DATA_MGMT_RESET_DB_DECISION","Reset DB from settings?"
"TDM010","DATA_MGMT_RESET_DB_DECISION","Reset DB from settings?","user","No","Return to Data Management","DATA_MGMT_HOME","Settings > Data Management"
"TDM011","DATA_MGMT_RESET_DB_DECISION","Reset DB from settings?","user","Yes","Delete local DB and reset encryption state","DATA_MGMT_RESET_DB_DELETE","Checkpoint WAL then wipe all DB artifacts including bak and temp backup subfolder"
"TDM012","DATA_MGMT_RESET_DB_DELETE","Checkpoint WAL then wipe all DB artifacts including bak and temp backup subfolder","complete","","Proceed into maintenance handoff after reset","DATA_MGMT_MAINT_CLOSE_ROOM","Close Room and release DB handles/jobs"
"TDM013","DATA_MGMT_MAINT_CLOSE_ROOM","Close Room and release DB handles/jobs","complete","","Restart boot flow pipeline","DATA_MGMT_MAINT_BOOT_RESTART","Boot flow restarts from initial state"
"TDM014","DATA_MGMT_MAINT_BOOT_RESTART","Boot flow restarts from initial state","continue","","Cleanup in-memory metadata cache if any","DATA_MGMT_MAINT_CACHE_CLEANUP","Cleanup metadata cache (if applicable)"
"TDM015","DATA_MGMT_MAINT_CACHE_CLEANUP","Cleanup metadata cache (if applicable)","complete","","Return to DB init chooser in boot flow","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCN001","CREATE_NEW_EXISTING_CHECK","Any existing DB artifacts on disk?","check","No existing artifacts","No existing DB - go directly to create new flow","CREATE_NEW_FLOW","Enter Create New DB flow"
"TCN002","CREATE_NEW_EXISTING_CHECK","Any existing DB artifacts on disk?","check","Existing artifacts found","Show destructive warning before proceeding","CREATE_NEW_WIPE_CONFIRM","Warn: creating new DB will permanently delete existing DB and all data"
"TCN003","CREATE_NEW_WIPE_CONFIRM","Warn: creating new DB will permanently delete existing DB and all data","show","","Await user confirmation","CREATE_NEW_WIPE_DECISION","User confirms create new and delete existing?"
"TCN004","CREATE_NEW_WIPE_DECISION","User confirms create new and delete existing?","user","No","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCN005","CREATE_NEW_WIPE_DECISION","User confirms create new and delete existing?","user","Yes","Checkpoint WAL before backup","CREATE_NEW_WAL_CHECKPOINT","Checkpoint WAL into main DB file before backup"
"TCN006","CREATE_NEW_WAL_CHECKPOINT","Checkpoint WAL into main DB file before backup","complete","","Close Room to release file locks","CREATE_NEW_CLOSE_ROOM_FOR_BACKUP","Close Room connection before backup"
"TCN007","CREATE_NEW_CLOSE_ROOM_FOR_BACKUP","Close Room connection before backup","complete","","Copy all DB artifacts to payanam_temp_backup subfolder","CREATE_NEW_TEMP_BACKUP","Copy all DB artifacts to payanam_temp_backup subfolder"
"TCN008","CREATE_NEW_TEMP_BACKUP","Copy all DB artifacts to payanam_temp_backup subfolder","complete","","Verify temp backup readability","CREATE_NEW_BACKUP_VERIFY","Temp backup DB file readable?"
"TCN009A","CREATE_NEW_BACKUP_VERIFY","Temp backup DB file readable?","check","Backup readable","Backup verified - wipe originals","CREATE_NEW_WIPE_ALL","Wipe all DB artifacts from DB dir including bak and temp files"
"TCN009B","CREATE_NEW_BACKUP_VERIFY","Temp backup DB file readable?","check","Backup unreadable or failed","Cannot safely proceed - show error","CREATE_NEW_BACKUP_FAILED","Temp backup failed - cannot safely proceed with create new"
"TCN010","CREATE_NEW_BACKUP_FAILED","Temp backup failed - cannot safely proceed with create new","user","Dismiss","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCN011","CREATE_NEW_WIPE_ALL","Wipe all DB artifacts from DB dir including bak and temp files","complete","","Enter create new DB flow with clean DB dir","CREATE_NEW_FLOW","Enter Create New DB flow"
"TCN013","CREATE_NEW_DB","Create new encrypted DB","complete","failed","DB creation failed - attempt restore from temp backup","CREATE_NEW_RESTORE_BACKUP","Wipe partial files and restore from payanam_temp_backup"
"TCN014","CREATE_NEW_CLEANUP_TEMP_BACKUP","Delete payanam_temp_backup folder on success (no-op if folder absent)","complete","","Proceed to app runtime ready","APP_RUNTIME_READY","App runtime ready (user starts using app)"
"TCN015","CREATE_NEW_RESTORE_BACKUP","Wipe partial files and restore from payanam_temp_backup","complete","","Check restore outcome","CREATE_NEW_RESTORE_RESULT","Restore from temp backup success?"
"TCN015A","CREATE_NEW_RESTORE_RESULT","Restore from temp backup success?","check","success","Restored - inform user","CREATE_NEW_RESTORE_OK_SCREEN","Create new failed - previous DB restored successfully"
"TCN015B","CREATE_NEW_RESTORE_RESULT","Restore from temp backup success?","check","failed","Both create and restore failed","CREATE_NEW_RESTORE_FAILED_SCREEN","Create new failed and restore also failed - DB dir may be empty"
"TCN017","CREATE_NEW_RESTORE_OK_SCREEN","Create new failed - previous DB restored successfully","user","Dismiss","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCN018","CREATE_NEW_RESTORE_FAILED_SCREEN","Create new failed and restore also failed - DB dir may be empty","user","Dismiss","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCHI001","IMPORT_EXISTING_CHECK","Any existing DB artifacts on disk?","check","No existing artifacts","No existing DB - go directly to file picker","IMPORT_PICKER","SAF picker for existing DB"
"TCHI002","IMPORT_EXISTING_CHECK","Any existing DB artifacts on disk?","check","Existing artifacts found","Show destructive warning before proceeding","IMPORT_WIPE_CONFIRM","Warn: importing will permanently delete existing DB and all data"
"TCHI003","IMPORT_WIPE_CONFIRM","Warn: importing will permanently delete existing DB and all data","show","","Await user confirmation","IMPORT_WIPE_DECISION","User confirms import and delete existing?"
"TCHI004","IMPORT_WIPE_DECISION","User confirms import and delete existing?","user","No","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCHI005","IMPORT_WIPE_DECISION","User confirms import and delete existing?","user","Yes","Checkpoint WAL before backup","IMPORT_WAL_CHECKPOINT","Checkpoint WAL into main DB file before backup"
"TCHI006","IMPORT_WAL_CHECKPOINT","Checkpoint WAL into main DB file before backup","complete","","Close Room to release file locks","IMPORT_CLOSE_ROOM_FOR_BACKUP","Close Room connection before backup"
"TCHI007","IMPORT_CLOSE_ROOM_FOR_BACKUP","Close Room connection before backup","complete","","Copy all DB artifacts to payanam_temp_backup subfolder","IMPORT_TEMP_BACKUP","Copy all DB artifacts to payanam_temp_backup subfolder"
"TCHI008","IMPORT_TEMP_BACKUP","Copy all DB artifacts to payanam_temp_backup subfolder","complete","","Verify backup readability","IMPORT_BACKUP_VERIFY","Temp backup DB file readable?"
"TCHI009","IMPORT_BACKUP_VERIFY","Temp backup DB file readable?","check","Backup readable","Backup verified - wipe originals then open file picker","IMPORT_WIPE_ALL","Wipe all DB artifacts from DB dir including bak and temp files"
"TCHI010","IMPORT_BACKUP_VERIFY","Temp backup DB file readable?","check","Backup unreadable or failed","Cannot safely proceed - show error","IMPORT_BACKUP_FAILED","Temp backup failed - cannot safely proceed with import"
"TCHI011","IMPORT_BACKUP_FAILED","Temp backup failed - cannot safely proceed with import","user","Dismiss","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"TCHI012","IMPORT_WIPE_ALL","Wipe all DB artifacts from DB dir including bak and temp files","complete","","Open file picker for import source","IMPORT_PICKER","SAF picker for existing DB"
"TCHI013","IMPORT_WIPE_ALL","Wipe all DB artifacts from DB dir including bak and temp files","picker cancelled","temp backup exists","User cancelled picker after wipe - restore from temp backup","IMPORT_RESTORE_BACKUP","Wipe partial files and restore from payanam_temp_backup"
"TCHI014","IMPORT_RESTORE_BACKUP","Wipe partial files and restore from payanam_temp_backup","complete","","Check restore outcome","IMPORT_RESTORE_RESULT","Restore from temp backup success?"
"TCHI014A","IMPORT_RESTORE_RESULT","Restore from temp backup success?","check","success","Restored - inform user","IMPORT_RESTORE_OK_SCREEN","Import failed - previous DB restored successfully"
"TCHI014B","IMPORT_RESTORE_RESULT","Restore from temp backup success?","check","failed","Both import and restore failed","IMPORT_RESTORE_FAILED_SCREEN","Import failed and restore also failed - DB dir may be empty"
"TCHI016","IMPORT_RESTORE_OK_SCREEN","Import failed - previous DB restored successfully","user","Dismiss","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
